ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
mygaps/ensemble-with-collision-resolver,Maxim Gerasimov,Ensemble with Collision Resolver,4,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1259,False,,True,False,True,True,https://www.kaggle.com/code/mygaps/ensemble-with-collision-resolver,downloaded/mygaps_ensemble-with-collision-resolver,70.250113106141,Maxim Gerasimov,270
jakupymeraj/copy-submit,Jakup Ymeraj,COPY & SUBMIT,14,,false,false,Translation,numpy;pandas;scipy;shapely,490,False,,True,False,True,False,https://www.kaggle.com/code/jakupymeraj/copy-submit,downloaded/jakupymeraj_copy-submit,,,
artemevstafyev/merge-and-optimise,Artem,Merge and Optimise,70,,false,false,Translation;Physics,numpy;pandas;shapely,1094,True,,True,False,True,True,https://www.kaggle.com/code/artemevstafyev/merge-and-optimise,downloaded/artemevstafyev_merge-and-optimise,70.504882953247,ST,143
jazivxt/team-optimization-template,jazivxt,Team Optimization Template,23,,false,false,Translation;Ensemble,numpy;pandas;shapely,540,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/team-optimization-template,downloaded/jazivxt_team-optimization-template,70.859592457139,Very Ape,64
skarin/santa-2025-christmas-tree-packing-challenge,SK Arin,🎄 SANTA 2025 - CHRISTMAS TREE PACKING CHALLENGE,0,,false,false,Translation,matplotlib;numpy;pandas;shapely,346,False,,True,False,True,False,https://www.kaggle.com/code/skarin/santa-2025-christmas-tree-packing-challenge,downloaded/skarin_santa-2025-christmas-tree-packing-challenge,70.309621540255,,
sacuscreed/my-simulated-annealing-with-translations-columns,Ángel Jacinto Sánchez Ruiz,My Simulated annealing with translations columns,0,,false,false,SA;Translation,matplotlib;numpy;pandas;shapely,620,False,,True,False,True,False,https://www.kaggle.com/code/sacuscreed/my-simulated-annealing-with-translations-columns,downloaded/sacuscreed_my-simulated-annealing-with-translations-columns,,Let me solo her!,72
jazivxt/teamwork-dreamwork,jazivxt,🐦🇨‌  - Teamwork Dreamwork,54,,false,false,Sparrow;Translation;Ensemble;Greedy,,270,False,,True,False,True,True,https://www.kaggle.com/code/jazivxt/teamwork-dreamwork,downloaded/jazivxt_teamwork-dreamwork,78.220816873246,Very Ape,64
nurikw3/lb-70-629-improved-baseline,Beisenbek Nurassyl [dsmlkz],[LB 70.629] IMPROVED BASELINE,10,,false,false,Translation,numpy;pandas;shapely,156,False,,True,False,True,False,https://www.kaggle.com/code/nurikw3/lb-70-629-improved-baseline,downloaded/nurikw3_lb-70-629-improved-baseline,,,
ashrafulhossenakash/santa-70-6298,Ashraful,Santa | 70.6298,10,,false,false,Translation,numpy;pandas;shapely,156,False,,True,False,True,False,https://www.kaggle.com/code/ashrafulhossenakash/santa-70-6298,downloaded/ashrafulhossenakash_santa-70-6298,70.629857214937,shr,5
tagirkhairutdinov/bronze-stable-bbox3-sweep-per-group-rotation,Tagir Analyzes,🥉Bronze – Stable bbox3 Sweep + Per-Group Rotation,72,,false,false,Translation,numpy;pandas;scipy;shapely,508,False,,True,False,True,False,https://www.kaggle.com/code/tagirkhairutdinov/bronze-stable-bbox3-sweep-per-group-rotation,downloaded/tagirkhairutdinov_bronze-stable-bbox3-sweep-per-group-rotation,70.628146846969,Tagir Analyzes,285
ashrafulhossenakash/score-70-6281-current-best,Ashraful,Score: 70.6281 🔥🔥current best 🔥🔥,63,,false,false,Translation,numpy;pandas;shapely,156,False,,True,False,True,False,https://www.kaggle.com/code/ashrafulhossenakash/score-70-6281-current-best,downloaded/ashrafulhossenakash_score-70-6281-current-best,70.6281,shr,5
