ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
tobimichigan/christmas-tree-packing-optimization-algorithm,Handsonlabs Software Academy,Christmas Tree Packing Optimization Algorithm,25,,false,false,SA;Ensemble;Physics;Greedy,joblib;matplotlib;numpy;pandas;scipy;shapely;sklearn;tensorflow,945,False,,True,False,True,True,https://www.kaggle.com/code/tobimichigan/christmas-tree-packing-optimization-algorithm,downloaded/tobimichigan_christmas-tree-packing-optimization-algorithm,,,
mygaps/ensemble-with-collision-resolver,Maxim Gerasimov,Ensemble with Collision Resolver,4,,false,false,SA;Translation;Ensemble,numba;numpy;pandas;shapely,1259,False,,True,False,True,True,https://www.kaggle.com/code/mygaps/ensemble-with-collision-resolver,downloaded/mygaps_ensemble-with-collision-resolver,70.250113106141,Maxim Gerasimov,270
sacuscreed/my-simulated-annealing-with-translations-columns,Ángel Jacinto Sánchez Ruiz,My Simulated annealing with translations columns,0,,false,false,SA;Translation,matplotlib;numpy;pandas;shapely,620,False,,True,False,True,False,https://www.kaggle.com/code/sacuscreed/my-simulated-annealing-with-translations-columns,downloaded/sacuscreed_my-simulated-annealing-with-translations-columns,,Let me solo her!,72
sacuscreed/my-simulated-annealing-with-translations,Ángel Jacinto Sánchez Ruiz,My Simulated annealing with translations,0,,false,false,SA,matplotlib;numpy;pandas;shapely,664,False,,True,False,True,False,https://www.kaggle.com/code/sacuscreed/my-simulated-annealing-with-translations,downloaded/sacuscreed_my-simulated-annealing-with-translations,72.307628142402,Let me solo her!,72
mr0106/santa-2025-championship-solution,Mohammad Ragab,SANTA 2025 - CHAMPIONSHIP SOLUTION,3,,false,false,SA,numpy;pandas;scipy;shapely,301,False,,True,False,True,False,https://www.kaggle.com/code/mr0106/santa-2025-championship-solution,downloaded/mr0106_santa-2025-championship-solution,,,
include4eto/parralel-simulated-annealing-in-c-w-warmstart,Traiko Dinev,Parralel Simulated Annealing in C++ w/ warmstart,13,,false,false,SA,matplotlib;pandas;shapely,948,False,,True,False,True,False,https://www.kaggle.com/code/include4eto/parralel-simulated-annealing-in-c-w-warmstart,downloaded/include4eto_parralel-simulated-annealing-in-c-w-warmstart,93.389931500733,,
chistyakov/sa-on-metamodel-from-2-blocks-182-trees,Stanislav Chistyakov,SA on metamodel from 2 blocks - 182 trees,62,,false,false,SA,matplotlib;numpy;pandas;shapely,929,False,,True,False,True,False,https://www.kaggle.com/code/chistyakov/sa-on-metamodel-from-2-blocks-182-trees,downloaded/chistyakov_sa-on-metamodel-from-2-blocks-182-trees,70.964947178727,ST,143
mexwell/tree-packing-optimization,mexwell,🎄 Tree Packing Optimization,0,,false,false,SA;Translation,matplotlib;numpy;pandas;scipy;shapely,454,False,,True,False,True,False,https://www.kaggle.com/code/mexwell/tree-packing-optimization,downloaded/mexwell_tree-packing-optimization,648.11997803731,,
xyzeys/baseline-greedy-v1,xyz eys,baseline-greedy-v1,4,,false,false,SA;Greedy,pandas;shapely,254,False,,True,False,True,False,https://www.kaggle.com/code/xyzeys/baseline-greedy-v1,downloaded/xyzeys_baseline-greedy-v1,168.80698029163,,
brianedwards/santa-2025-tree-packing-with-claude-code,Brian Edwards,Santa 2025: Tree Packing with Claude Code,3,,false,false,SA,matplotlib;numpy;pandas,178,False,,True,False,True,False,https://www.kaggle.com/code/brianedwards/santa-2025-tree-packing-with-claude-code,downloaded/brianedwards_santa-2025-tree-packing-with-claude-code,,,
nocarbonintelligence/santa-2025-tilingmultistartsa-strtree,LazyUnicorn,Santa_2025_TilingMultiStartSA_STRtree,6,,false,false,SA;Translation;Physics,matplotlib;numpy;shapely,274,False,,True,False,False,False,https://www.kaggle.com/code/nocarbonintelligence/santa-2025-tilingmultistartsa-strtree,downloaded/nocarbonintelligence_santa-2025-tilingmultistartsa-strtree,,,
nocarbonintelligence/santa-tree-optimizer,LazyUnicorn,santa_tree_optimizer,4,,false,false,SA;Translation,matplotlib;numpy;shapely,263,False,,True,False,False,False,https://www.kaggle.com/code/nocarbonintelligence/santa-tree-optimizer,downloaded/nocarbonintelligence_santa-tree-optimizer,,,
anantpandey29/santa-2025-ho-ho-holdout,Anant Pandey,🎄 Santa 2025: Ho Ho Holdout,1,,false,false,SA;Greedy,matplotlib;numpy;pandas;shapely,253,False,,True,False,True,False,https://www.kaggle.com/code/anantpandey29/santa-2025-ho-ho-holdout,downloaded/anantpandey29_santa-2025-ho-ho-holdout,152.647206531204,,
